Date,Global_Wheat_Price
2014-01-01,229.980359365079
2014-02-01,242.798281578947
2014-03-01,275.612493968254
2014-04-01,276.382361269841
2014-05-01,287.912873809524
2014-06-01,261.649900634921
2014-07-01,238.549905
2014-08-01,229.158001111111
2014-09-01,211.171101428571
2014-10-01,210.724928333333
2014-11-01,215.987918235294
2014-12-01,234.858836666667
2015-01-01,213.0214075
2015-02-01,201.74206877193
2015-03-01,202.691426666667
2015-04-01,195.931228253968
2015-05-01,193.216571166667
2015-06-01,199.835441666667
2015-07-01,199.21748
2015-08-01,173.517591587302
2015-09-01,164.06922015873
2015-10-01,165.451481904762
2015-11-01,157.804378947368
2015-12-01,163.893455
2016-01-01,164.611626666667
2016-02-01,159.283795
2016-03-01,164.060471666667
2016-04-01,163.386837777778
2016-05-01,157.560342063492
2016-06-01,156.695036666667
2016-07-01,133.710203
2016-08-01,127.899911014493
2016-09-01,123.248756190476
2016-10-01,122.558500166667
2016-11-01,122.549797719298
2016-12-01,122.846325555556
2017-01-01,137.145735833333
2017-02-01,147.361442105263
2017-03-01,146.43149942029
2017-04-01,138.407590701754
2017-05-01,146.440213333333
2017-06-01,157.246191666667
2017-07-01,174.532416666667
2017-08-01,139.050815072464
2017-09-01,138.413392333333
2017-10-01,133.344516031746
2017-11-01,138.045955666667
2017-12-01,147.1032695
2018-01-01,156.388044126984
2018-02-01,172.289119122807
2018-03-01,180.918815873016
2018-04-01,180.376409365079
2018-05-01,192.70383
2018-06-01,193.07921984127
2018-07-01,196.806077460317
2018-08-01,211.29205884058
2018-09-01,191.144421754386
2018-10-01,188.461606666667
2018-11-01,181.552390877193
2018-12-01,188.535836296296
2019-01-01,188.84494968254
2019-02-01,177.916701754386
2019-03-01,164.506644761905
2019-04-01,159.030088730159
2019-05-01,158.281695
2019-06-01,174.697763166667
2019-07-01,163.876753333333
2019-08-01,149.363005
2019-09-01,146.570486333333
2019-10-01,153.22109
2019-11-01,157.528264259259
2019-12-01,165.254640833333
2020-01-01,178.241777301587
2020-02-01,172.231102807018
2020-03-01,170.874751666667
2020-04-01,179.746517936508
2020-05-01,174.954968833333
2020-06-01,169.722336666667
2020-07-01,170.574121666667
2020-08-01,174.182476984127
2020-09-01,204.137313809524
2020-10-01,203.4263
2020-11-01,210.753936491228
2020-12-01,217.312542857143
2021-01-01,237.944249824561
2021-02-01,240.806388070175
2021-03-01,229.887549275362
2021-04-01,239.936143333333
2021-05-01,278.447005396825
2021-06-01,238.767026666667
2021-07-01,243.628006984127
2021-08-01,274.87603
2021-09-01,269.733507301587
2021-10-01,294.036818253968
2021-11-01,317.437354813333
2021-12-01,324.017900555555
2022-01-01,326.081669833333
2022-02-01,347.5032275
2022-03-01,387.665013697101
2022-04-01,406.026886301667
2022-05-01,444.15656781746
2022-06-01,397.6523199
2022-07-01,321.97512765873
2022-08-01,323.016768768116
2022-09-01,346.322181071428
2022-10-01,353.712907166667
2022-11-01,344.329860728333
2022-12-01,323.654838134921
2023-01-01,320.097045125
2023-02-01,332.412023436842
2023-03-01,309.429599855072
2023-04-01,312.81082437193
2023-05-01,299.44000625
2023-06-01,282.27674528254
2023-07-01,278.617600992064
2023-08-01,241.413877753623
2023-09-01,229.390711
2023-10-01,216.463939126984
2023-11-01,216.000269047619
2023-12-01,229.633412587719
2024-01-01,226.078531904762
2024-02-01,219.238068463333
2024-03-01,211.841017208333
2024-04-01,208.3816845
2024-05-01,227.430770416667
2024-06-01,205.226054898333
2024-07-01,183.225634166667
2024-08-01,175.510466266667
2024-09-01,188.505216574074
2024-10-01,197.371945833333
2024-11-01,185.734787082456
2024-12-01,185.7943505
