Date,Export_Qty_Kg,Export_Value_USD,Production_MT,Global_Rice_Price_USD,Exchange_Rate_PKR,Is_Harvest_Season,Global_Price_Lag1,Month,Year
2014-01-01,512606000.0,267619749.525,7003.0,450,105.47,1,450.0,1,2014
2014-02-01,411510000.0,238285225.73,7003.0,459,104.8,0,450.0,2,2014
2014-03-01,338698000.0,216662243.45,7003.0,422,98.2,0,459.0,3,2014
2014-04-01,285101000.0,182996317.369,7003.0,395,98.55,0,422.0,4,2014
2014-05-01,236843000.0,162786297.251,7003.0,388,98.58,0,395.0,5,2014
2014-06-01,225225000.0,149624689.691,7003.0,397,98.58,0,388.0,6,2014
2014-07-01,181398000.0,125216542.599,7003.0,422,98.68,0,397.0,7,2014
2014-08-01,0.0,104254378.394,7003.0,445,101.75,0,422.0,8,2014
2014-09-01,207011000.0,132618645.175,7003.0,432,102.5,0,445.0,9,2014
2014-10-01,0.0,154441415.792,7003.0,428,102.6,1,432.0,10,2014
2014-11-01,444798000.0,220945782.184,7003.0,418,101.7,1,428.0,11,2014
2014-12-01,491452000.0,237968114.96,7003.0,418,100.65,1,418.0,12,2014
2015-01-01,414257000.0,204439725.313,6801.0,420,101.0,1,418.0,1,2015
2015-02-01,0.0,172996939.421,6801.0,420,101.75,0,420.0,2,2015
2015-03-01,455047000.0,214808338.282,6801.0,410,101.75,0,420.0,3,2015
2015-04-01,348376000.0,179963754.199,6801.0,399,101.75,0,410.0,4,2015
2015-05-01,309587000.0,152305361.044,6801.0,381,101.91,0,399.0,5,2015
2015-06-01,255455000.0,133004714.333,6801.0,376,101.72,0,381.0,6,2015
2015-07-01,167113000.0,91104017.387,6801.0,392,101.75,0,376.0,7,2015
2015-08-01,226652000.0,121350265.775,6801.0,373,104.1,0,392.0,8,2015
2015-09-01,254463000.0,124099366.604,6801.0,357,104.35,0,373.0,9,2015
2015-10-01,357997000.0,147368804.268,6801.0,373,105.3,1,357.0,10,2015
2015-11-01,539747000.0,203583497.673,6801.0,368,105.4,1,373.0,11,2015
2015-12-01,414652000.0,180653940.403,6801.0,363,104.7,1,368.0,12,2015
2016-01-01,0.0,157824779.945,6849.0,369,104.7,1,363.0,1,2016
2016-02-01,419353000.0,181889873.872,6849.0,384,104.65,0,369.0,2,2016
2016-03-01,415905000.0,167105393.091,6849.0,384,104.6,0,384.0,3,2016
2016-04-01,413226000.0,173298110.567,6849.0,395,104.7,0,384.0,4,2016
2016-05-01,378853000.0,166912677.806,6849.0,433,104.72,0,395.0,5,2016
2016-06-01,0.0,143922719.569,6849.0,441,104.6,0,433.0,6,2016
2016-07-01,0.0,83884535.7,6849.0,442,104.71,0,441.0,7,2016
2016-08-01,146769000.0,75488233.155,6849.0,415,104.69,0,442.0,8,2016
2016-09-01,171584000.0,83066149.296,6849.0,384,104.35,0,415.0,9,2016
2016-10-01,375690000.0,148723119.735,6849.0,369,104.7,1,384.0,10,2016
2016-11-01,417721000.0,165558052.838,6849.0,365,104.75,1,369.0,11,2016
2016-12-01,384155000.0,155319531.771,6849.0,373,104.35,1,365.0,12,2016
2017-01-01,388026000.0,163718774.0,7450.0,377,104.64,1,373.0,1,2017
2017-02-01,346992000.0,156260882.638,7450.0,367,104.66,0,377.0,2,2017
2017-03-01,286233000.0,137382372.172,7450.0,370,104.71,0,367.0,3,2017
2017-04-01,363611000.0,175707823.965,7450.0,380,104.65,0,370.0,4,2017
2017-05-01,222313000.0,116723883.109,7450.0,421,104.69,0,380.0,5,2017
2017-06-01,256390000.0,143392838.56,7450.0,458,104.7,0,421.0,6,2017
2017-07-01,191638000.0,107921069.37,7450.0,417,105.3,0,458.0,7,2017
2017-08-01,212293000.0,116076361.127,7450.0,393,105.1,0,417.0,8,2017
2017-09-01,185738000.0,96223501.932,7450.0,402,105.25,0,393.0,9,2017
2017-10-01,301060000.0,137463976.141,7450.0,394,105.23,1,402.0,10,2017
2017-11-01,430319000.0,192760143.727,7450.0,402,105.23,1,394.0,11,2017
2017-12-01,472210000.0,198748830.328,7450.0,406,110.4,1,402.0,12,2017
2018-01-01,489960000.0,217671963.688,7202.0,442,110.52,1,406.0,1,2018
2018-02-01,387116000.0,194171650.577,7202.0,425,110.53,0,442.0,2,2018
2018-03-01,459395000.0,232068086.41,7202.0,430,115.42,0,425.0,3,2018
2018-04-01,332570000.0,185000198.645,7202.0,451,115.54,0,430.0,4,2018
2018-05-01,385170000.0,209593060.653,7202.0,451,115.55,0,451.0,5,2018
2018-06-01,258591000.0,146807482.258,7202.0,427,121.47,0,451.0,6,2018
2018-07-01,206846000.0,110830575.597,7202.0,398,123.18,0,427.0,7,2018
2018-08-01,193758000.0,112816541.954,7202.0,405,122.985,0,398.0,8,2018
2018-09-01,152115000.0,88188873.298,7202.0,405,122.71,0,405.0,9,2018
2018-10-01,251772000.0,128174289.908,7202.0,409,133.775,1,405.0,10,2018
2018-11-01,378905000.0,172899543.961,7202.0,401,138.9,1,409.0,11,2018
2018-12-01,436192000.0,214543954.326,7202.0,404,139.8,1,401.0,12,2018
2019-01-01,493623000.0,237135380.227,7206.0,410,139.3,1,404.0,1,2019
2019-02-01,427488000.0,203226666.537,7206.0,408,139.84,0,410.0,2,2019
2019-03-01,489545000.0,229649459.181,7206.0,406,140.6,0,408.0,3,2019
2019-04-01,412900959.653,216404908.994,7206.0,413,141.3,0,406.0,4,2019
2019-05-01,440600000.0,222859452.394,7206.0,409,146.6,0,413.0,5,2019
2019-06-01,283249000.0,142006422.667,7206.0,420,162.5,0,409.0,6,2019
2019-07-01,365420715.981,194046529.523,7206.0,416,160.55,0,420.0,7,2019
2019-08-01,259445000.0,138218074.881,7206.0,430,156.5,0,416.0,8,2019
2019-09-01,234987000.0,137696004.221,7206.0,427,156.0,0,430.0,9,2019
2019-10-01,317222000.0,163043885.498,7206.0,424,154.95,1,427.0,10,2019
2019-11-01,453141000.0,202182256.934,7206.0,421,155.15,1,424.0,11,2019
2019-12-01,411660000.0,197211903.039,7206.0,432,154.5,1,421.0,12,2019
2020-01-01,367642000.0,181238444.222,8420.0,451,153.74,1,432.0,1,2020
2020-02-01,361609000.0,183225312.369,8420.0,450,153.65,0,451.0,2,2020
2020-03-01,376865000.0,196213463.697,8420.0,494,165.75,0,450.0,3,2020
2020-04-01,384732000.0,222689032.816,8420.0,564,160.0,0,494.0,4,2020
2020-05-01,347956000.0,207272095.844,8420.0,510,162.0,0,564.0,5,2020
2020-06-01,277214000.0,150896857.315,8420.0,520,167.2,0,510.0,6,2020
2020-07-01,267621000.0,149004584.381,8420.0,480,167.28,0,520.0,7,2020
2020-08-01,168096000.0,99124881.561,8420.0,505,164.59,0,480.0,8,2020
2020-09-01,185782000.0,112067325.805,8420.0,507,165.4,0,505.0,9,2020
2020-10-01,265752943.325,139416578.439,8420.0,471,160.0,1,507.0,10,2020
2020-11-01,482238105.879,231061555.343,8420.0,489,158.8,1,471.0,11,2020
2020-12-01,0.0,232681342.412,8420.0,520,159.75,1,489.0,12,2020
2021-01-01,338343915.323,194254385.939,9323.0,545,159.6,1,520.0,1,2021
2021-02-01,322444000.0,180342100.803,9323.0,557,158.35,0,545.0,2,2021
2021-03-01,387925000.0,222589197.766,9323.0,525,152.32,0,557.0,3,2021
2021-04-01,309984000.0,189479449.692,9323.0,495,152.98,0,525.0,4,2021
2021-05-01,178797000.0,106125399.906,9323.0,493,152.52,0,495.0,5,2021
2021-06-01,322969000.0,185530711.318,9323.0,466,157.53,0,493.0,6,2021
2021-07-01,235242000.0,139654620.845,9323.0,414,161.75,0,466.0,7,2021
2021-08-01,253894000.0,140443809.776,9323.0,403,166.25,0,414.0,8,2021
2021-09-01,261692000.0,142815671.367,9323.0,400,170.5,0,403.0,9,2021
2021-10-01,349075000.0,171152222.813,9323.0,401,171.55,1,400.0,10,2021
2021-11-01,494948000.0,231382393.41,9323.0,400,175.72,1,401.0,11,2021
2021-12-01,535252000.0,239934670.83,9323.0,400,175.8,1,400.0,12,2021
2022-01-01,465447000.0,220004643.41,7322.0,427,176.32,1,400.0,1,2022
2022-02-01,494226000.0,253998964.97,7322.0,427,177.25,0,427.0,2,2022
2022-03-01,512953000.0,250421717.404,7322.0,422,183.4,0,427.0,3,2022
2022-04-01,466913000.0,259296548.595,7322.0,431,185.4,0,422.0,4,2022
2022-05-01,466836000.0,224845183.361,7322.0,464,198.7,0,431.0,5,2022
2022-06-01,464318000.0,236228624.703,7322.0,444,204.5,0,464.0,6,2022
2022-07-01,251722000.0,138428792.366,7322.0,418,239.66,0,444.0,7,2022
2022-08-01,255422000.0,144009553.366,7322.0,431,218.25,0,418.0,8,2022
2022-09-01,217034000.0,119168642.403,7322.0,439,227.65,0,431.0,9,2022
2022-10-01,257507000.0,143722844.953,7322.0,431,220.0,1,439.0,10,2022
2022-11-01,419397000.0,202888760.512,7322.0,440,224.5,1,431.0,11,2022
2022-12-01,331948000.0,178306900.085,7322.0,467,226.15,1,440.0,12,2022
2023-01-01,249510000.0,154936965.587,9869.0,517,267.5,1,467.0,1,2023
2023-02-01,565055000.0,270979376.283,9869.0,492,261.0,0,517.0,2,2023
2023-03-01,393313000.0,243124258.781,9869.0,476,283.41,0,492.0,3,2023
2023-04-01,331293000.0,223762462.529,9869.0,501,283.25,0,476.0,4,2023
2023-05-01,247464000.0,179488235.81,9869.0,510,284.55,0,501.0,5,2023
2023-06-01,201644000.0,147254482.116,9869.0,514,286.0,0,510.0,6,2023
2023-07-01,172302000.0,116892496.424,9869.0,547,286.25,0,514.0,7,2023
2023-08-01,168451000.0,116701157.066,9869.0,635,306.0,0,547.0,8,2023
2023-09-01,255607000.0,172435061.155,9869.0,620,288.3,0,635.0,9,2023
2023-10-01,459892000.0,304282964.916,9869.0,590,281.59,1,620.0,10,2023
2023-11-01,665439000.0,408024539.907,9869.0,598,285.25,1,590.0,11,2023
2023-12-01,850242000.0,518469801.711,9869.0,644,280.97,1,598.0,12,2023
2024-01-01,752179000.0,477189689.496,9720.0,660,279.12,1,644.0,1,2024
2024-02-01,609463000.0,401687908.053,9720.0,624,278.8,0,660.0,2,2024
2024-03-01,624856000.0,413414154.881,9720.0,613,277.5,0,624.0,3,2024
2024-04-01,530186000.0,351693934.008,9720.0,592,278.13,0,613.0,4,2024
2024-05-01,506702000.0,345497400.66,9720.0,628,278.32,0,592.0,5,2024
2024-06-01,434172000.0,304138481.146,9720.0,632,278.2,0,628.0,6,2024
2024-07-01,270814000.0,206359949.713,9720.0,590,278.25,0,632.0,7,2024
2024-08-01,347178000.0,259123800.266,9720.0,589,278.82,0,590.0,8,2024
2024-09-01,380728001.046,260782139.625,9720.0,580,277.72,0,589.0,9,2024
2024-10-01,615161000.0,368616618.115,9720.0,515,277.85,1,580.0,10,2024
2024-11-01,793807000.0,438094086.893,9720.0,511,277.8,1,515.0,11,2024
2024-12-01,793807000.0,365930758.501,9720.0,527,278.12,1,511.0,12,2024
