Date,Commodity,Forecast_Export_Value_USD
2025-09-01,Copper,69123372.82588476
2025-09-01,Cotton Yarn,33182347.66839783
2025-09-01,Rice,126509995.1212222
2025-10-01,Copper,63573976.0018727
2025-10-01,Cotton Yarn,33728733.61866102
2025-10-01,Rice,123586217.00779241
2025-11-01,Copper,65866078.3195984
2025-11-01,Cotton Yarn,35947098.58577775
2025-11-01,Rice,125932171.61987564
2025-12-01,Copper,59956646.64512678
2025-12-01,Cotton Yarn,36948739.68639678
2025-12-01,Rice,147456275.5133157
2026-01-01,Copper,64001514.665510036
2026-01-01,Cotton Yarn,38797053.28550351
2026-01-01,Rice,157079395.00919202
2026-02-01,Copper,61709643.04719119
2026-02-01,Cotton Yarn,37895797.551777296
2026-02-01,Rice,181285055.19135273
